19216,28,274,1000,1719,cf3b53b30f909
19246,8,278,1000,1719,cf3b53b30f909
19263,4,278,1000,1719,cf3b53b30f909
19368,3,277,1000,1719,cf3b53b30f909
19387,0,275,1000,1719,cf3b53b30f909
19434,1,274,1000,1719,cf3b53b30f909
19457,2,272,1000,1719,cf3b53b30f909
19472,4,270,1000,1719,cf3b53b30f909
19488,7,266,1000,1719,cf3b53b30f909
19510,17,259,1000,1719,cf3b53b30f909
19526,27,255,1000,1719,cf3b53b30f909
19542,39,250,1000,1719,cf3b53b30f909
19558,47,244,1000,1719,cf3b53b30f909
19572,52,240,1000,1719,cf3b53b30f909
19588,58,236,1000,1719,cf3b53b30f909
19604,64,231,1000,1719,cf3b53b30f909
19628,73,226,1000,1719,cf3b53b30f909
19642,77,221,1000,1719,cf3b53b30f909
19658,82,219,1000,1719,cf3b53b30f909
19675,88,216,1000,1719,cf3b53b30f909
19690,94,215,1000,1719,cf3b53b30f909
19704,101,213,1000,1719,cf3b53b30f909
19728,113,213,1000,1719,cf3b53b30f909
19736,117,214,1000,1719,cf3b53b30f909
19760,124,218,1000,1719,cf3b53b30f909
19774,129,223,1000,1719,cf3b53b30f909
19790,135,228,1000,1719,cf3b53b30f909
19806,142,235,1000,1719,cf3b53b30f909
19822,147,245,1000,1719,cf3b53b30f909
19838,154,253,1000,1719,cf3b53b30f909
19860,162,261,1000,1719,cf3b53b30f909
19876,164,264,1000,1719,cf3b53b30f909
19893,164,265,1000,1719,cf3b53b30f909
19913,164,267,1000,1719,cf3b53b30f909
19926,162,271,1000,1719,cf3b53b30f909
19942,159,275,1000,1719,cf3b53b30f909
19958,155,279,1000,1719,cf3b53b30f909
19974,152,283,1000,1719,cf3b53b30f909
19996,146,289,1000,1719,cf3b53b30f909
20011,143,294,1000,1719,cf3b53b30f909
20028,138,298,1000,1719,cf3b53b30f909
20044,135,303,1000,1719,cf3b53b30f909
20060,131,309,1000,1719,cf3b53b30f909
20074,128,317,1000,1719,cf3b53b30f909
20090,126,325,1000,1719,cf3b53b30f909
20106,126,338,1000,1719,cf3b53b30f909
20122,124,350,1000,1719,cf3b53b30f909
20144,126,366,1000,1719,cf3b53b30f909
20160,130,378,1000,1719,cf3b53b30f909
20176,133,387,1000,1719,cf3b53b30f909
20192,138,393,1000,1719,cf3b53b30f909
20208,140,400,1000,1719,cf3b53b30f909
